Date,Advisory,Patch commit(s),Affected by CHERI kernel,,,,,,,Can unpatch?,Local / Remote,Overflow,DoS,Exec,Disclosure,"Corrupt
Memory",Not memory safety bug,"Arch
Specific",UaF (UMA/kmalloc),"Race or
TOCTTOU",Priv Escalation,Affects network stack,NULL ptr dereference,NOTES,History
2018-03-14,FreeBSD-SA-18:03.speculative_execution,bd50262f705c4fed70ea94d16a0f19b5f5497cf2,,,,,,,X,,local,,,,X,,X,amd64,,,,,,Spectre/meltdown mitigations,
2018-03-07,FreeBSD-SA-18:01.ipsec (mbuf overflow),6ca39da3548b10ddbd39cb47b50f6c594a2b1690,,,,,,,X,Feasible,remote,X,X,,,,,,,,,X,X,"ah_input() in ipsec fails to validate that the packet holds at leas the ah header and authenticator. If this is not true the packed header length will be too short and attempt to copy via m_copydata() will fail. If assertions are enabled this would panic, otherwise it will cause a NULL pointer dereference because m_copydata walks past the mbuf chain. I don't think this would cause corruption though.",
2018-03-07,FreeBSD-SA-18:01.ipsec (UaF),6ca39da3548b10ddbd39cb47b50f6c594a2b1690,,,,,T,,T,Feasible,remote,,,,,,,,X,,,X,,"ah_input() does not save the ah_nxt across ah_massage_headers, which may invalidate the ah header pointer because of m_pullup(). This results in use-after-free of the ah header, which comes from an mbuf UMA allocation.",
2017-11-15,FreeBSD-SA-17:10.kldstat,edb01d11f89618f0bfb1db67682effb1dd9fa781,,,,,,,X,,local,,,,kstack,,,,,,,,,Kernel stack disclosure via kldstat() due to insufficient zeroing of the output struct before copyout(). CHERI does not help because this involves inner struct padding.,
2017-11-15,FreeBSD-SA-17:09.shm,adb023ae59d5535b8288fb779fd6e24b96cbd8ca,,,,,,,X,,local,,,,,,X,,,,X,,,"SHM object paths are not separated across jails, leading to one jail being able to access SHM objects from another jail. This is not related to CHERI as this is a logic error in exposing shm object namespace.",
2017-11-15,FreeBSD-SA-17:08.ptrace,9acf7b136db39dafe0fd733214ae94f47c254e12,,,,,,,X,,local,,,,kstack,,,,,,,,,Missing zeroing in lwpinfo before copyout in ptrace. This leads to the disclosure of some kstack bytes. CHERI does not help because this involve inner struct padding.,2017-10-17: syzkaller FreeBSD support
2017-04-27,FreeBSD-SA-17:04.ipfilter,666bd4d2532230dee4ace395edb4c1cfea06748d,,,,,T,,T,,remote,,X,,,,,,X,,,X,,"The wrong ipfilter TCP/UDP packet fragment entry is freed from the fragment cache, leading to use after free panic.",
2016-05-31,FreeBSD-SA-16:21.43bsd,34e05ebe7281cdb7f4378339ab183e33780d801f,,,,,,,X,,local,,,,kstack,,,,,,,,,"Kernel stack disclosure due to insufficient zeroing of ioctl output struct before copyout(), CHERI does not help as the leak affects the inner struct padding.",
2016-05-31,FreeBSD-SA-16:20.linux,34e05ebe7281cdb7f4378339ab183e33780d801f,,,,,,,X,,local,,,,kstack,,,,,,,,,"Kernel stack disclosure due to insufficient zeroing of ioctl output struct before copyout(), CHERI does not help as the leak affects the inner struct padding.",
2016-05-17,FreeBSD-SA-16:19.sendmsg,7349ea785c916bbd7516077f293ae93bbb54dbbf,,,X,,,,,,local,,X,X,,,,,,,,,,"Handling in sockargs() via sendmsg() missing buflen range check. Using a crafted negative buflen it should be possible to get an mbuf via m_get2() too short to hold the copyin() of the data from userland, leading to an overflowing write into kernel memory. CHERI prevents this because mbuf data is bounded.",
2016-05-17,FreeBSD-SA-16:18.atkbd,c9d2719027821229f5ca9a5194040713c3d0409c,,,X,,,X,,Feasible,local,X,,,,X,,,,,,,,"keyboard driver buffer overflow in SETFKEY ioctl. The kb_fkeytab[fkeyp->keynum].len is set using imin() insted of min(), resulting in overflowing bcopy() into kb_fkeytab[].str. The fkeyp is the ioctl argument and is user controlled. fkeyp is a fkeyarg_t, the fkeyp.flen is a signed char, MAXFK (the maximum string length of a function key) is 16, so there is the chance for imin() to be up to negative 128. The target buffer is a fixed-length MAXFK buffer, allocation depends on the keyboard driver via kbd_set_maps(). For example atkbd either allocates the keytab statically or via kmalloc. The USB ukdb driver instead have the fkeymap embedded in the ukdb_softc. CHERI would stop this as fkeytab.str is a fixed-length string, subobject bounds help depending on implementation: the ukdb driver without subobject bounds may allow trashing of the ukdb_softc.",2016-05-27: First KASAN mention in a fix
2016-03-16,FreeBSD-SA-16:15.sysarch,e33c2e6b06128675d62db3b8fec5576a884f9865 ccd08e4d99fa607d7ad8fc0dc02329850ce24244,,,X,,,X,,,local,,,,,X,,amd64,,,,,,"amd64_set_ldt() initiated via sysarch syscall misses argument validation that leads to unbound zeroing of the process LDT and adjacent memory. This is caused by integer overflow of the largest_ld which then is used to compute the bzero() length. CHERI stops this because the pldt->ldt_base would be bounded as it comes from kmem_malloc(). CHERI subobject bounds would also help to avoid corruption of the whole LDT array, although it might still be possible to achieve the same result using repeated sysarch calls.",
2016-01-27,FreeBSD-SA-16:10.linux,669414e4fb7463aa46811636ad6b6b66834dd6fd,,,,,,,X,,local,,,,,,X,,,,X,,,Incorrect AT_SECURE value stored in auxv (and returned by glibc issetguid()) in linux compat.,
2016-01-14,FreeBSD-SA-16:05.tcp,f73d9fd2f1e7e3cdb56caf7458147db355ff0354,,,X,,,,,,remote,X,X,,,X,,,,,,X,,"Write to a random address due to tcpopt.to_signature being an uninitialized stack variable used as an offset from the tcphdr. CHERI will stop the overflow in arbitrary kernel memory but the current packet data may still be corrupted. Remote under pretty strict conditions, otherwise local.",
2016-01-14,FreeBSD-SA-16:04.linux,c8358c6e0d55601e5e81ff7829c210c64d460f85,,,X,,,,,feasible,local,,,,,X,,,,,,,,crextend() not called before copying credentials into new credentials for linux_setgroups(). This leads to a write past newcred->cr_groups[] end. CHERI should stop this as cr_groups comes from kmalloc.,
2016-01-14,FreeBSD-SA-16:03.linux,037f750877f04f57a316f597f2e0176fa1e19aab,X,X,,,,,,,local,,,,X,,,,,,X,,,"Invalid linux futex compat syscall handling results in kernel memory disclosure. The set_robust_list syscall saves the given robust list head pointer, however the get_robust_list syscall copyout() is wrong and copies back to userspace some amount of memory pointed by the head pointer. If the head is made to point to a kernel address it is possible to dump arbitrary kernel memory. CHERI stops this because it is not possible for an user process to forge a kernel pointer.",
2016-01-14,FreeBSD-SA-16:01.sctp,479795819a80a3d669f5f36903e3bbf418768f0a,,,,,,,X,,remote,,X,,,,,,,,,X,X,Panic or NULL pointer dereference due to missing SCTP input checks. This will fail in m_copydata() if the packet length is shorter than struct sctphdr.,
2015-08-25,FreeBSD-SA-15:21.amd64,2d45c2d52dfd81603621506119de8acbfbb21831 a9eb27a9900c09c60e42920a8b1da68b51550b39 f024d1a3a33280aecf362cc5d7e97f36af132d0e,,,,,,,X,,local,,,,,,X,amd64,,,X,,,Userland GS segment may be used erroneusly if a fault occurs on IRET.,
2015-07-28,FreeBSD-SA-15:15.tcp,4741bfcb57776df8564c3e4b865e5a54cda4800e,,,,,,,X,,remote,,X,,,,X,,,,,X,,Exhaustion of mbuf resources due to allocation from TCP stacks in multiple VNETs. The limit of mbuf for TCP reassembly queues is per-vnet instead of a global limit.,
2015-07-21,FreeBSD-SA-15:13.tcp,47a8e86509b258d16c4a36e2e475cb946bbc447c,,,,,,,X,,remote,,X,,,,X,,,,,X,,TCP LAST_ACK state resource exhaustion.,
2015-04-07,FreeBSD-SA-15:09.ipv6,dd3856601d978410015c4079bfdec99d0246e2a7,,,,,,,X,,remote,,X,,,,X,,,,,X,,Ipv6 neighbour discovery advertisement DoS.,
2015-02-25,FreeBSD-SA-15:04.igmp,cfa498d88e1f35d4173edaf6660bb5b1c2d49657 edc76c95db261a867bfadab30cbc3640fa33bd0c,,,X,,,,,Feasible,remote,X,X,,X,,,,,,,X,,"DoS and possible overflow in IGMP due to integer overflow in srclen variable in igmp_input(). When building the igmpv3len (uint16) for the m_pullup, the size might wrap around, resulting in the wrong m_pullup(). This would shorten the m_pullup() m_data and fail into igmp_input_v3_query as the igmpv3 pointer will point to incomplete data. The query is finally dispatched to igmp_input_v3_group_query() which will attempt to traverse the source addresses that may not have been made available via m_pullup(). This would cause a buffer overflow in the mbuf m_data and resulting potentially in kernel data disclosure, but not memory corruption.",
2015-01-27,FreeBSD-SA-15:03.sctp,6a58f0e913cac177649f9732c47fa0c3f6de9f67,,,,,,,X,,remote,,X,,,,,,,,,X,X,NULL pointer dereference due to invalid processing of SCTP RE_CONFIG chunks. It is unclear to me where the NULL dereference occurs.,
2015-01-27,FreeBSD-SA-15:02.kmem,38f2a43815f79fb4435b9d715585df49225258ae,,,X,,,,,,local,X,,,X,X,,,,,,X,,Kernel memory leak/corruption via SCTP due to missing parameter checking. The overflow should occur when the SS_VALUE optval stream_id is larger than the current association streamcount. This will result in sctp_ss_get_value() extracting data past the strmout[] array end. A similar issue occurs for setopt. It is unclear why this is limited to 16 bytes.,
2014-11-04,FreeBSD-SA-14:25.setlogin,bccb6d5aa14a143f583903dbd28512ed3e93237f,,,,,,,X,,local,,,,X,,,,,,,,,"Kernel stack disclosure via sys_setlogin(). setlogin() copies a stack allocated string buffer to the p->p_session->s_login buffer, including any unused space. sys_getlogin can then be used to retrieve the leaked stack bytes. CHERI does not help in this case.",
2014-10-21,FreeBSD-SA-14:22.namei,8cc11167fb0a602d4f9d62d4769724f81198afc,,,,,,,X,,local,,X,,,,X,,,,,,,Memory leak (missing UMA zfree) when namei fails to find a path for a sandboxed process.,
2014-09-16,FreeBSD-SA-14:19.tcp,831ad37ef267beba5b1c0f04ad34e53255fc5fb9 3220a2121cc9d20d5d8085b153ec4bffe235d600,,,,,,,X,,remote,,X,,,,X,,,,,X,,DoS due to blind SYN/RST spoofed attack,
2014-07-08,FreeBSD-SA-14:17.kmem CVE-2014-3953,e432298ade8c0f7cc2bc0969c318086dc12ce86a,,,,,,,X,,local,,,,X,,,,,,,X,,"Some SCTP messages have implicit padding that is not initialized before copyout(), leading to kernel heap disclosure.",
2014-07-08,FreeBSD-SA-14:17.kmem CVE-2014-3952,e432298ade8c0f7cc2bc0969c318086dc12ce86a,,,,,,,X,,local,,,,X,,,,,,,X,,Buffer between control msg and data not completely initialized before being copied to userland leads to kernel heap disclosure.,
2014-06-03,FreeBSD-SA-14:12.ktrace,093e059c7d8e3ce1fdf9e9237a7240b120037b05 ktrace.patch,,,X,,,X,,,local,,,,X,,,,,,,,,Size of page fault trace entries was not set correctly. An user may be able to access leaked kernel memory via process tracing with ktrace. CHERI stops this on multiple levels. Subobject bounds should stop leak out of the ktr_request.ktr_data union field. Capability bounds should stop leaking past the end of a ktr_request.,
2014-04-30,FreeBSD-SA-14:08.tcp,c6f70658c313c9443f04cb526c187817ecb82dca,,,,,?,,X,,remote,,X,,X,?,,,kernel stack in queue,,,X,,"When V_tcp_reass_zone is exhausted, a stack-allocated TCP reassembly queue entry may be added to the reassembly queue. This leads to a stack use-after-free. CHERI does not seem to help in this case. Temporal safety on the stack is a question.",
2014-04-08,FreeBSD-SA-14:05.nfsserver,25bfde79d6dacb75c66732b4ad4b14d71e0c43d2,,,,,,,X,,remote,,X,,,,X,,,,,X,,NFS server deadlock,
2013-09-10,FreeBSD-SA-13:13.nullfs,1a05c762b9c203dec97fc053448eab98b525b088,,,,,,,X,,local,,,,,,X,,,,X,,,vop_link for nullfs missing check allows write-access to files that are nominally on a readonly filesystem.,
2013-09-10,FreeBSD-SA-13:12.ifioctl,1a05c762b9c203dec97fc053448eab98b525b088,X,X,,,,,,,local,,X,?,,X,,,,,X,,,Missing validation of some ioctl at the network-layer that are propagated to link-layer drivers. Drivers assume that input has been validated and misuse the values. At minimum this seems to be used to dereference an invalid pointer and crash. Not sure how we can get abritrary code exec. CHERI can only help if the userland is attempting to inject pointers.,
2013-09-10,FreeBSD-SA-13:11.sendfile,1a05c762b9c203dec97fc053448eab98b525b088,,,,,,,X,Feasible,remote,,,,X,,,,,,,X,,"Leak of kernel memory up to the next page boundary or sendfile() userland-provided size, when the file on disk is smaller than the user-provided size. CHERI does not help because sendfile() operates on vm_page entries provided by vm_page_grab(), the sf_buf buffer is only bounded to page-size and is not enough to stop the leak of bytes past the end of the file.",
2013-08-22,FreeBSD-SA-13:10.sctp,0e05fbded989dbae569fd3a6dc6f0aad3b79cc7d,,,,,,,X,,remote,,,,X,,,,,,,X,,Missing zeroing leads to leak of uninitialized kernel memory via the sctp_state_cookie.,
2013-08-22,FreeBSD-SA-13:09.ip_multicast,acde2476c4c9fd94d8d9ac0c79d355ef24e6a6c6,,,X,,,,,,local,kmalloc,,,X,X,,,,,,X,,Integer overflow in computig size of a temporary buffer in inp_get_source_filters() results in kmalloc buffer overflow. The buffer is also copied to the userland via copyout,
2013-07-26,FreeBSD-SA-13:08.nfsserver,f1c4014cd5a19a9e894e69adbc89456a70396075,,,,,,,X,,remote,,,,,,X,,,,X,X,,Insufficient checks in NFS server can allow user to mount as privileged user.,
2013-06-18,FreeBSD-SA-13:06.mmap,5b3e02570aad765ee54aa9ba564aa97f52101227,,,,,,,X,,local,,,,,X,,,,,X,,,Missing checks in mmap allow a process with access to another process address space to write-map pages that are readonly in the traced process. CHERI does not help because this happens via legitimately mapped pages.,
2013-04-29,FreeBSD-SA-13:05.nfsserver,c93c82f464863400532af34d4ae5012145685097,,,?,,,,?,,remote,kmalloc,,,,,,,,,,X,,"NFS server does not validate that READDIR commands operate on a directory node. If this is not the case, the impact depends on the amount of validation the underlying filesystem performs. UFS may be able to trigger a kmalloc buffer overflow in vop_readdir() -> vop_read(), this would be stopped by CHERI. I am unsure how the ZFS kernel stack arbitrary access would happen.",
2012-11-22,FreeBSD-SA-12:08.linux,43f13bea35296bc14198f6cf0e5a67e556c43f5b,X,X,,,,,,,local,,,?,,X,,,,,,,,"Invalid handling of linux compat ioctl ifconf with missing copyout, using direct copy instead. CHERI stops the attack because the userland can not forge a kernel address that would lead to kernel memory corruption.",
2012-06-12,FreeBSD-SA-12:04.sysret,b0a576ce8eeaebe60d4f41aaef6297d21b3e9a31,,,,,,,X,,local,,X,,,X,X,amd64,,,,,,"If the userland provides a non-canonical user address for the sysret %rip, some implementations generate a GP fault, however the fault handler would run in kernel mode with the user %gs and %rsp.",
2011-09-28,FreeBSD-SA-11:05.unix,a06534c3c2587eca911a202d556fa656694f0218 5da3eb94fc6c44f333b318c7fd5cd37efea3a7d3,X,X,X,,,,,Easy,local,X,,X,,X,,,,,,,,"Linux compat layer fails to properly generate BSD-compatible sockaddrs for UNIX sockets. The linux_getsockaddr function generates sockaddr_un for domain sockets, this is used among other places in linux_bind() which ends up in uipc_bind(). Now, sockaddr_un has a limited size buffer at the end containing the socket pathname at most of SUNPATHLEN. Linux does not enforce this limitation. The user-given length is set as `sa_len` in the sockaddr as the temporary sockaddr allocation (from the M_SONAME malloc type) used during uipc_bind(). Wihtin the rest of the uipc stack, sockaddr_un have fixed max size and the linux mangled sockaddr_un is copied in fixed-size buffers. An example of this might be uipc_peeraddr() which should be triggerable from the sys_getpeername() syscall on the other end of the socket. This will lead to a kernel heap overflow with possibly arbitrary length (but probably alphanumeric path-like contents). CHERI would stop this by preventing the overflow. Also injecting pointers via the path string would be impossible.",
2010-11-10,FreeBSD-SA-10:09.pseudofs,a0ed3d8546a4f75f27d7e2e188ea679367bc5d39,,,,,,,X,,local,,X,,,,,,,,,,X,"Spurious pseudofs mutex unlock. If NULL page mapping is disabled, this supposedly leads to DoS via NULL pointer dereference. If NULL page mapping is allowed this leads to arbitrary code execution. I do not see how this happens.",
2010-07-13,FreeBSD-SA-10:07.mbuf,d5406806abdc46dbb99934f5001d3b4bf18c8ee4,,,,,,,X,,local,,,,,X,,,,,,,,"Data corruption due to the M_RDONLY flag not being preserved when duplicating an mbuf reference. This leads to the memory being modified for sendfile() external storage pages. CHERI does not help with this because the M_RDONLY flag is not reflected by capability permission bits, however it is conceivable to be able to support this.",
2010-05-27,FreeBSD-SA-10:06.nfsclient,31b99bfe49cfb0820286cb7a3613dbc2f612208c,,,X,,,,,"Possibly, file moved",local,,,X,,,,,,,,X,,"Insufficient userland parameter validation. The parameter fhsize is used to copyin the nfs_args.fh contents, if the fhsize is wrong it will overflow the stack-allocated nfh buffer, overflowing the kernel stack. This may lead to kernel code execution, CHERI stops the overflow.",
2010-01-06,FreeBSD-SA-10:03.zfs,5f99f8897523967aea4a686283be802e11036b69,,,,,,,X,,local,,,,,,X,,,,X,,,ZFS ZIL playback of setattr transaction sets invalid insecure file attributes (0777),
2009-10-02,FreeBSD-SA-09:14.devfs,482acad57332f5ff6f288860c5b7a1e820bddb95,,X,,,,,,,local,,X,,,,,,,X,X,,X,NULL pointer race. Unsure how this is triggered but appears to involve missing initialization of f_vnode.,2009-10-02: User NULL mappings forbidden
2009-10-02,FreeBSD-SA-09:13.pipe,pipe.patch 741b6cf8a565f75b3868bea8a0c4c0e247e23d24,,,,,T,,,,local,,,,,,,,UMA pipe_zone,X,,,,"Race in pipe close() causes use after free. This is well explained in the commit message. In essence knlist_clear may drop the PIPE_MTX, allowing the other end of the pipe to enter pipe close() as well. The pipe_present state is cleared before releasing PIPE_MTX, which would allow the other thread to detect the pipe as fully closed and call uma_zfree on it. The original close() thread will then proceed to use the free'd pipe data.",
2009-06-10,FreeBSD-SA-09:10.ipv6,9a1bde1808c46ddbf781de3cfe4ab990079aa151,,,,,,,X,,local,,,,,,X,,,,X,X,,missin permission check in IPv6 ioctl.,
2009-06-10,FreeBSD-SA-09:09.pipe,9a1bde1808c46ddbf781de3cfe4ab990079aa151,,,,,,,X,,local,,,,X,,,,,,,,,"Integer overflow in pipe causes leak of user or kernel pages. CHERI does not help because the leak occurs by mapping and copying physical pages, which are not protected by capabilities.",
2009-03-23,FreeBSD-SA-09:06.ktimer,3f935cf34295f0bc10b371149c83b8b24366061b,,,X,,,,,,local,,,,,X,,,,,,,,Arbitrary kernel memory write due to missing negative check on timer ID. Leads to buffer overflow of p_itimers->its_timers[]. Subobject bounds would apply if the itimers struct contained any other field. The buffer comes from kmalloc.,
2008-12-23,FreeBSD-SA-08:13.protosw,f0b40b1c97b2efe9f22af5d63ec6c62c55804a43,X,X,,X,,,,,local,,,X,,,,,,,,X,X,"Arbitrary code execution in bluetooth and netgraph sockets due to missing function pointer initialization. CHERI should stop this due to missing tags and permissions on invalid function pointers. This would prevent a call to NULL from being exploited in any way. However this in general should cause a crash, depending on the NULL pointer dereference impact, code exec occurs if NULL pointer mappings are allowed.",
2008-11-24,FreeBSD-SA-08:11.arc4random,8c85a7fb78d9486ad7db6ce44dfa06449d931fd,,,,,,,X,,local,,,,,,X,,,,X,,,randomdev predictable sequence vulnerability,
2008-10-02,FreeBSD-SA-08:10.nd6,29a6d781afe0d924b678a10b2c2195555cbf3ba1,,,,,,,X,,remote,,X,,,,X,,,,,,,neighbour discovery ipv6 algorithm flaw,
2008-09-03,FreeBSD-SA-08:09.icmp6,59ca51adba9254260a817dcac4a816af4f5b83b9,,,,,,,X,,remote,,X,,,,X,,,,,X,,"Panic due to invalid processing of the IPv6 MTU value in ICMP packet. The exact panic trigger is unknown, the patch seems to limit the mtu size reduction to be close to spec. Does not appear to be memory-safety related",
2008-09-03,FreeBSD-SA-08:08.nmount,59ca51adba9254260a817dcac4a816af4f5b83b9,,,X,,,,,,local,kstack,,,,X,,,,,,,,Kernel stack overflow via an error string vulnerability. The stack buffer has a fixed length but it is filled with an arbitrary length VFS option from userspace.,
2008-09-03,FreeBSD-SA-08:07.amd64,8ad85ff260e18e0bf17f67ab941663d141d248e3,,,,,,,X,,local,,,X,,,X,amd64,,,X,,,kernel/user state is mixed due to repeated execution of swapgs when a general protection fault is handled during an interrupt,
2008-02-14,FreeBSD-SA-08:04.ipsec,709dbc33b14011a5969835f1d020adc93138f0b5,,X,,,,,,,remote,,X,,,,,,,,,X,X,NULL pointer dereference in ipsec,
2008-02-14,FreeBSD-SA-08:03.sendfile,1b7089994ced9be5f5defe4fbeba532847829b6f,,,,,,,X,,local,,,,,,X,,,,X,X,,"sendfile fails to check file permission flags and can send write-only files, leading to privilege escalation",
2007-11-29,FreeBSD-SA-07:09.random,9790a3cbd4acf18a684305d39c51b4736287160a,,,,,,,X,,local,,,,,,X,,,,,,,yarrow random algorithm bug allows replay of previous values.,
2007-04-26,FreeBSD-SA-07:03.ipv6,67debc100cac6e37d4599cccb35fa5c15c9502a2 ipv6.patch,,,,,,,X,,remote,,X,,,,X,,,,,,,DoS traffic amplification attack,
2006-12-06,FreeBSD-SA-06:25.kmem,8b0a738288f8e63f247c75ec1d1055b2d9509492,,,X,,,X,,,local,X,,,X,,,,,,,,,"Incorrect signed integer comparison for buffer length triggers kernel buffer overflow on copyout. Depending on the firewire device, the buffer may be coming from kmalloc or from an array embedded in the fw_device structure. The latter case is also impacted by subobject bounds.",
2006-08-23,FreeBSD-SA-06:18.ppp,6aa3bc96a6cb4b46430317eb81d1f7ce055741ec,,,X,,,,,,remote,kmalloc,,,X,X,,,,,,X,,Failure to validate option length for Link Control Protocol of PPP in sppp leads to kernel buffer overflow,
2006-05-31,FreeBSD-SA-06:16.smbfs,72f6a0fa7ae2649befc0ff21477e0f444d8c4e16,,,,,,,X,,local,,,,,,X,,,,X,,,"smbfs fails to sanitize paths correctly, leading to chroot escape",
2006-04-19,FreeBSD-SA-06:14.fpu,2652af563e4dfb232dce805d80565964baa65cdb,,,,,,,X,,local,,,,X,,X,amd64,,,,,,"Some floating point registers are not preserved across context switches (FIP, FOP, FDP). In a CHERI implementation FIP/FDP may have been capabilities.",
2006-03-22,FreeBSD-SA-06:11.ipsec,d16f6f50276f22d892749e99b9ad5f6b7e1d41c8,,,,,,,X,,remote,,,,,,X,,,,X,X,,IPsec replay attack,
2006-03-01,FreeBSD-SA-06:10.nfs,925374d4538beff4ffddc35f8f28ec92949edaff,,X,,,,,,,remote,,X,,,,,,,,,X,X,"NULL pointer dereference due to missing check in NFS server code. I am unsure but this might also be causing an m_copym overflow if slp->ns_reclen is a negative value, due to signed integer confusion.",
2006-02-01,FreeBSD-SA-06:08.sack,tcp_sack.patch,,,,,,,X,,remote,,X,,,,X,,,,,X,,Selective ACK may cause TCP to enter an infinite loop when there is not enough memory to handle the ACK on the sender.,
2006-01-25,FreeBSD-SA-06:07.pf,31f9d10a7771b39009a35c4b36fdbe2797db8e64,,,,,,,X,,remote,,X,,,,X,,,,,X,,"A crafted sequence of fragmented packets may crash the system due to a duble insert into the pf fragment cache, which violates a kernel invariant. pf_fragcache is called by pf_normalize_ip, which make a distinction based on whether the rule is a `scrub fragment xxx` rule. The issue arises when inserting a fragment with a gap with respect to the next fragment in the cache. When this occurs, if there was a gap also with respect to the previous fragment, the current fragment is inserted twice into the cache, causing the invariant violation. This does not seem related to memory safety.",
2006-01-25,FreeBSD-SA-06:06.kmem CVE-2006-0380,e55e5e42767a4d8e045da4d1c82715c64a9967ca,,,X,,,,,Easy,local,X,,,X,,,,,,,,,Buffer overflow in getchanlist via copyout() discloses kernel memory to user.,
2006-01-25,FreeBSD-SA-06:06.kmem CVE-2006-0379,02d4ab93fb7545debdb2a8e9f68bb481e7623e6a,,,,,,,X,Easy,local,,,,X,,,,,,,,,Missing buffer initialization before copyout() discloses uninitialized bytes from the kernel stack. Can not be mitigated by CHERI.,
2006-01-18,FreeBSD-SA-06:05.80211,9238d0aff638719975e1cb21ec9d73a5f85a1711,X,,X,,,X,,Feasible,remote,X,,X,,X,,,,,,X,,"Remote overflow in IEEE802.11 beacon handling. Caused by integer overflow in the beacon, results in the overflow of a kernel stack allocation. It is unclear how many bytes we can overflow the buffer.",
2006-01-11,FreeBSD-SA-06:04.ipfw,9ed97bee65d1de7f1a01b80b7ab41c6adff77415,,X,,,,,,,remote,,X,,,,,,,,,X,X,"In ipfw_chk(), we may send a reject message due to O_REJECT rule. When this happens we need to make sure we are not in the middle of an IP fragmented packet, because in that case we do not have the `ulp` pointer to the upper-layer-protocol header initialized. This is detected via the current offset variable, which indicates the current packet offset in the fragmented packet. The issue arises from the ICMP check on the ulp pointer, which leads to a NULL pointer dereference.",
2005-07-27,FreeBSD-SA-05:19.ipsec,1fcc990954dd1f3d84a0f6c2453bcb263a82506c,,,,,,,X,,remote,,,,X,,X,,,,X,X,,Invalid algorithm used by ipsec,
2005-07-20,FreeBSD-SA-05:17.devfs,02a4be3f74a570c6c427082bca7e131a00e4c512,,,,,,,X,,local,,,,,,X,,,,X,,,devfs missing check allows jailed processes to access some hidden device nodes,
2005-06-29,FreeBSD-SA-05:15.tcp CAN-2005-2068,0a389eab226dfe89be0b831fe454e2cd9a9e9705,,,,,,,X,,remote,,X,,,,X,,,,,X,,Errors in TCP stack SYN handling allows attacker to modify certain TCP options.,
2005-06-29,FreeBSD-SA-05:15.tcp CAN-2005-0356,cf09195ba50c0a676cd8363f5564dc6722f8bdc8,,,,,,,X,,remote,,X,,,,X,,,,,X,,"Errors in TCP stack timestamp processing allow attacker to increment the internal ""recent"" timestamp.",
2005-06-29,FreeBSD-SA-05:13.ipfw,0a389eab226dfe89be0b831fe454e2cd9a9e9705,,,,,,,X,,remote,,,,,,X,,,X,,X,,Locking error in ipfw may lead to incorrect address matching,
2005-05-13,FreeBSD-SA-05:09.htt,f6108b6158c0b1b372ae8afcda21171a67e40933,,,,,,,X,,local,,,,X,,X,x86/amd64,,,X,,,hyper threading information disclosure,
2005-05-06,FreeBSD-SA-05:08.kmem,fd94099ec208321d81b8e997b185156b9af828d4 fe2eee8231bddaae179df741f7df389a96e7afef,,,,,,,X,,local,,,,X,,,,,,,,,Failure to zero fixed-length buffers where variable-length strings are copied may result in kernel memory disclosure. CHERI does not help with this because the buffers are legitimate structure space that fails to be initialized.,
2005-05-06,FreeBSD-SA-05:07.ldt,9b2dc15ca0fb622177f64aec7470545687d11030,,,X,,,,,,local,X,,,X,,,i386,,,,,,"syscall args validation error results in overflowing copyout. Overflows an UMA buffer or a statically allocated array, both will be bounded with CHERI.",
2005-05-06,FreeBSD-SA-05:06.iir,c340af03a0d3f3aadf322426d91bd2dd90062ad9,,,,,,,X,,local,,,,,,X,,,,X,,,invalid filesystem permissions on dev node,
2005-04-15,FreeBSD-SA-05:04.ifconf,baeddd23a09138f7b54dacb7b5208c35ce86b839,,,,,,,X,,local,,,,X,,,,,,,X,,kernel memory disclosure due missing clearing of ifreq.ifr_name to SIOCGIFCONF. CHERI does not help because this involves failed zeroing of inner structure padding.,
2005-04-06,FreeBSD-SA-05:03.amd64,352e3efb7051ec9ea2613f479df7e449f1c6325a,,,,,,,X,,local,,,,,,X,X,,,X,,,Failure to initialize the TSS register leads to privilege escalation as user becomes able to access restricted hardware resources.,
2005-04-04,FreeBSD-SA-05:02.sendfile,89a577e7b418e8029e0ca74c20fd14276cc79e61,,,,,,,?,Feasible,local,X,,,X,,,,,,,X,,"The vnode pager was not notified of the change in size. It is unclear if CHERI would help, given the fact that sendfile operates on physical unmapped pages I believe CHERI doest not catch the bug.",
2004-12-01,FreeBSD-SA-04:17.procfs,ebbf4e4bde2322b38bffad4a30b6d9e09942fc21,X,X,,,,,,Feasible,local,,X,,X,,,,,,,,X,"Unvalidated userspace pointer dereference. procfs_doproccmdline() is supposed to extract argv from a process and make it accessible via procfs. In the function, we copy into the kernel the target process ps_strings structure, then each argument is copied to the kernel via copyin(). However the argv vector itself is not copied to kernel memory via sbuf_copyin, leading to the possibility of a malicious process forging its argv pointer in ps_strings with a crafted kernel pointer or NULL (DoS). Given that the actual string is copied via sbuf_copyin(), that protects against kernel pointer forging within the vector, as such it seems difficult to disclose actual kernel data. Note that the result of sbuf_copyin() is not checked, so it will fail silently if the pointers in argv are weird. The ps_nargvstr is also not validated, which may lead to controlling the loop iteration past ARG_MAX (and incidentally the fix seems vulnerable to an integer overflow in the ARG_MAX comparison, although CHERI does not help there more than it already does).",
